# prefix: AUT26;;;
question_code;csv_column;target_row;transform
id;id;;skip
submitdate;submitdate;;skip
lastpage;lastpage;;skip
startlanguage;startlanguage;;skip
seed;seed;;skip
startdate;startdate;;skip
datestamp;datestamp;;skip
CF01;CF01;;skip
PI01;PI01;Age;
PI02;PI02;Gender;
PI02_other;PI02_other;Gender;other
PI03;PI03;Nationality;
PI03_other;PI03_other;Nationality;other
PI10;PI10;Timeline Comments;
PI04;PI04;Ethnic self-identification;
PI09;PI09;;skip
PI11;PI11;Years lived in other English-speaking countries;
PI08;PI08;Years lived outside of home country;
PI05;PI05;Country or region you identify with;
PI06_SQ008;PI06_SQ008;Languages used at home while  growing up;lang_checkbox:Czech
PI06_SQ002;PI06_SQ002;Languages used at home while  growing up;lang_checkbox:English
PI06_SQ003;PI06_SQ003;Languages used at home while  growing up;lang_checkbox:French
PI06_SQ001SQ001;PI06_SQ001SQ001;Languages used at home while  growing up;lang_checkbox:German
PI06_SQ006;PI06_SQ006;Languages used at home while  growing up;lang_checkbox:Hungarian
PI06_SQ004;PI06_SQ004;Languages used at home while  growing up;lang_checkbox:Italian
PI06_SQ005;PI06_SQ005;Languages used at home while  growing up;lang_checkbox:Spanish
PI06_SQ007;PI06_SQ007;Languages used at home while  growing up;lang_checkbox:Polish
PI06_other;PI06_other;Languages used at home while  growing up;lang_other
PI07m_SQ008;PI07m_SQ008;Native Lg. Mother;lang_checkbox:Czech
PI07m_SQ002;PI07m_SQ002;Native Lg. Mother;lang_checkbox:English
PI07m_SQ003;PI07m_SQ003;Native Lg. Mother;lang_checkbox:French
PI07m_SQ001SQ001;PI07m_SQ001SQ001;Native Lg. Mother;lang_checkbox:German
PI07m_SQ006;PI07m_SQ006;Native Lg. Mother;lang_checkbox:Hungarian
PI07m_SQ004;PI07m_SQ004;Native Lg. Mother;lang_checkbox:Italian
PI07m_SQ005;PI07m_SQ005;Native Lg. Mother;lang_checkbox:Spanish
PI07m_SQ007;PI07m_SQ007;Native Lg. Mother;lang_checkbox:Polish
PI07m_other;PI07m_other;Native Lg. Mother;lang_other
PI07f_SQ008;PI07f_SQ008;Native Lg. Father;lang_checkbox:Czech
PI07f_SQ002;PI07f_SQ002;Native Lg. Father;lang_checkbox:English
PI07f_SQ003;PI07f_SQ003;Native Lg. Father;lang_checkbox:French
PI07f_SQ001SQ001;PI07f_SQ001SQ001;Native Lg. Father;lang_checkbox:German
PI07f_SQ006;PI07f_SQ006;Native Lg. Father;lang_checkbox:Hungarian
PI07f_SQ004;PI07f_SQ004;Native Lg. Father;lang_checkbox:Italian
PI07f_SQ005;PI07f_SQ005;Native Lg. Father;lang_checkbox:Spanish
PI07f_SQ007;PI07f_SQ007;Native Lg. Father;lang_checkbox:Polish
PI07f_other;PI07f_other;Native Lg. Father;lang_other
EP01;EP01;Primary school;
EP01_other;EP01_other;Primary school;other
EP02;EP02;Secondary school;
EP02_other;EP02_other;Secondary school;other
EP04_SQ001;EP04_SQ001;Qualifications;qual_checkbox:Apprenticeship
EP04_SQ002;EP04_SQ002;Qualifications;qual_checkbox:Vocational classes
EP04_SQ007;EP04_SQ007;Qualifications;qual_checkbox:General secondary education
EP04_SQ003;EP04_SQ003;Qualifications;qual_checkbox:Bachelor
EP04_SQ004;EP04_SQ004;Qualifications;qual_checkbox:Master's
EP04_SQ005;EP04_SQ005;Qualifications;qual_checkbox:PhD
