Original_Language,NER_Result,Normalized_Language
(American) English,,(American) English
(English) English,,(English) English
"(English, Danish)",,"(English, Danish)"
"(English,German)",,"(English, German)"
4ly English / 2 Maltese,,"4Ly English, 2 Maltese"
"4ly English / 2 Maltese, 2 Italian",,"4Ly English, 2 Maltese, 2 Italian"
4ly English / 2 Slovenian,,"4Ly English, 2 Slovenian"
4ly Maltese / 2 English,,"4Ly Maltese, 2 English"
"4ly Maltese / 2 English, Italian",,"4Ly Maltese, 2 English, Italian"
4ly Slovenian / 2 English,,"4Ly Slovenian, 2 English"
"4ly Slovenian / 2 English, Croatian",,"4Ly Slovenian, 2 English, Croatian"
"8 languages, including Maltese and English",,"8 Languages, Including Maltese, English"
Africaans,,Africaans
Afrikaans,,Afrikaans
Afrikaans/English,,"Afrikaans, English"
Albanian,,Albanian
Albenian,,Albenian
American,,American
American English,,English
Amharic,,Amharic
Amharic (/English at school),,"Amharic (, English At School)"
Arabic,,Arabic
Arabic (Kuwaiti),,Arabic (Kuwaiti)
Arabic and Spanish,,"Arabic, Spanish"
"Arabic, German",,"Arabic, German"
"Arabic, Spanish",,"Arabic, Spanish"
"Arabic, Spanish, English",,"Arabic, Spanish, English"
"Arabic,Maltese,French,English",,"Arabic, Maltese, French, English"
Arabic/Algerian Accent,,"Arabic, Algerian Accent"
Arabic/French,,"Arabic, French"
Arabic/Spanish,,"Arabic, Spanish"
Aramaic,,Aramaic
Aramaie,,Aramaie
Assamese,,Assamese
Australian,,Australian
Australian English (?),,English (?)
Austrian; Maltese,,"Austrian, Maltese"
Balti,,Balti
Balti (Ladakhi),,Balti (Ladakhi)
"Balti,Hindi",,"Balti, Hindi"
Bangulisi,,Bangulisi
"Bangulisi, Sri Lankan, English",,"Bangulisi, Sri Lankan, English"
Bayamón,,Bayamón
Bengali,,Bengali
"Bengali, Arabic",,"Bengali, Arabic"
"Bengali,Dakhni",,"Bengali, Dakhni"
Bihari,,Bihari
Bilingual,,Bilingual
Bosnia,,Bosnia
Bosnian,,Bosnian
Br.  English,,Br. English
Br. English,,Br. English
British,,British
British English,,English
British-Scottish,,British-Scottish
Bulgarian,,Bulgarian
"Bulgarian, Turkish",,"Bulgarian, Turkish"
Canadian,,Canadian
Canadian English,,English
Cantonese,,Cantonese
Catalan,,Catalan
Catalan (Ibizan),,Catalan (Ibizan)
Catalan (Majorcan (Manacar)),,Catalan (Majorcan (Manacar))
Catalan (Majorcan),,Catalan (Majorcan)
Catalan (Mallorcan (Palma)),,Catalan (Mallorcan (Palma))
Catalan (Mallorcan),,Catalan (Mallorcan)
"Catalan (Mallorcan, Pollença)",,"Catalan (Mallorcan, Pollença)"
Catalan (Mallorqui),,Catalan (Mallorqui)
Catalan (Mallorquin),,Catalan (Mallorquin)
"Catalan (Mallorquin), English",,"Catalan (Mallorquin), English"
Catalan (Manacor),,Catalan (Manacor)
"Catalan (Menorcan, Maó)",,"Catalan (Menorcan, Maó)"
Catalan (Pollença),,Catalan (Pollença)
Catalan (Son Servera),,Catalan (Son Servera)
"Catalan, Spanish",,"Catalan, Spanish"
Chichewa,,Chichewa
Chinese,,Chinese
Chinese / Cantonese,,"Chinese, Cantonese"
"Chinese, Cantonese",,"Chinese, Cantonese"
Chinese/English,,"Chinese, English"
Chitumbuka,,Chitumbuka
Corozal,,Corozal
"Creole, French, English",,"Creole, French, English"
Croatian,,Croatian
"Croatian, Serbian",,"Croatian, Serbian"
Cypriot,,Cypriot
Czech,,Czech
DE,,De
Danish,,Danish
"Danish, German",,"Danish, German"
"Danish, Icelandic",,"Danish, Icelandic"
"Danish, Swedish",,"Danish, Swedish"
"Danish, a little bit of German",,"Danish, A Little Bit Of German"
Dogri,,Dogri
Dutch,,Dutch
Eglish,,Eglish
Egyptian,,Egyptian
Emglish,,Emglish
Emmanuel,,Emmanuel
Engliah,,Engliah
Englih,,Englih
Englilsh,,Englilsh
Englisch,,Englisch
English,,English
English  with some Spanish,,English With Some Spanish
English (+ Jèrriais),,"English (, Jèrriais)"
English (American),,English (American)
English (British),,English (British)
"English (Doric, some Scots)",,"English (Doric, Some Scots)"
"English (England), Spanish",,"English (England), Spanish"
English (English),,English (English)
English (India),,English (India)
English (Irish English),,English (Irish English)
English (Irish),,English (Irish)
English (London),,English (London)
English (Scotland),,English (Scotland)
English (Scottish),,English (Scottish)
English (South British),,English (South British)
English (UK),,English (Uk)
"English (mostly English, some Scots)",,"English (Mostly English, Some Scots)"
English + Maltese,,"English, Maltese"
English + Maltese equally,,"English, Maltese Equally"
English + Spanish,,"English, Spanish"
English / Afrikaans,,"English, Afrikaans"
English / Chinese (Hokkien),,"English, Chinese (Hokkien)"
English / Filipino,,"English, Filipino"
English / Finnish (for infancy),,"English, Finnish (For Infancy)"
English / French,,"English, French"
English / German,,"English, German"
English / German / Spanish,,"English, German, Spanish"
English / German / Turkish / Kurdish,,"English, German, Turkish, Kurdish"
English / Greek,,"English, Greek"
English / Irish Eglish,,"English, Irish Eglish"
English / Italian,,"English, Italian"
English / Italian / Dutch,,"English, Italian, Dutch"
English / Latvian,,"English, Latvian"
English / Maltese,,"English, Maltese"
English / Maltese / German,,"English, Maltese, German"
English / Maltese / Italian,,"English, Maltese, Italian"
English / Russian / Arabic,,"English, Russian, Arabic"
English / Scots,,"English, Scots"
English / Serbian,,"English, Serbian"
English / Spanish,,"English, Spanish"
English / Yoruba,,"English, Yoruba"
English / other,,"English, Other"
English British,,English British
English West Indies (American),,English West Indies (American)
English and Bulgarian,,"English, Bulgarian"
English and Maltese,,"English, Maltese"
English and Spanish,,"English, Spanish"
English&Spanish,,"English, Spanish"
English+French,,"English, French"
English+Spanish,,"English, Spanish"
"English,
Italian",,"English, Italian"
"English,
Spanish",,"English, Spanish"
"English, 
Spanish",,"English, Spanish"
"English,  Spanish",,"English, Spanish"
"English, Africaan, French, Swedish, Norwegian, Danish",,"English, Africaan, French, Swedish, Norwegian, Danish"
"English, Africaans",,"English, Africaans"
"English, Afrikaans",,"English, Afrikaans"
"English, Arabic",,"English, Arabic"
"English, Arabic, Bengali",,"English, Arabic, Bengali"
"English, Bosnian, German",,"English, Bosnian, German"
"English, Cantonese",,"English, Cantonese"
"English, Chinese",,"English, Chinese"
"English, Chinese, German, Czech",,"English, Chinese, German, Czech"
"English, Dutch",,"English, Dutch"
"English, Egyptian",,"English, Egyptian"
"English, Filipino",,"English, Filipino"
"English, French",,"English, French"
"English, French, Jèrriais",,"English, French, Jèrriais"
"English, French, Spanish",,"English, French, Spanish"
"English, Gaelic",,"English, Gaelic"
"English, German",,"English, German"
"English, Gibraltarian",,"English, Gibraltarian"
"English, Gibraltarian (Yanito)",,"English, Gibraltarian (Yanito)"
"English, Glaswegian",,"English, Glaswegian"
"English, Greek",,"English, Greek"
