Original_Language,NER_Result,Normalized_Language
(American) English,"American, English",English
(English) English,"English, English",English
"(English, Danish)","English, Danish","English, Danish"
"(English,German)","English,German","English, German"
4ly English / 2 Maltese,"English, Maltese","English, Maltese"
"4ly English / 2 Maltese, 2 Italian","English, Maltese, Italian","English, Maltese, Italian"
4ly English / 2 Slovenian,"English, Slovenian","English, Slovenian"
4ly Maltese / 2 English,"Maltese, English","Maltese, English"
"4ly Maltese / 2 English, Italian","Maltese, English, Italian","Maltese, English, Italian"
4ly Slovenian / 2 English,"Slovenian, English","Slovenian, English"
"4ly Slovenian / 2 English, Croatian","Slovenian, English, Croatian","Slovenian, English, Croatian"
"8 languages, including Maltese and English","Maltese, English","Maltese, English"
Africaans,Africaans,Afrikaans
Afrikaans,Afrikaans,Afrikaans
Afrikaans/English,"Afrikaans, English","Afrikaans, English"
Albanian,Albanian,Albanian
Albenian,Albenian,Albanian
American,American,English
American English,American English,English
Amharic,Amharic,Amharic
Amharic (/English at school),Amharic,Amharic
Arabic,Arabic,Arabic
Arabic (Kuwaiti),"Arabic, Kuwaiti","Arabic, Kuwaiti"
Arabic and Spanish,"Arabic, Spanish","Arabic, Spanish"
"Arabic, German","Arabic, German","Arabic, German"
"Arabic, Spanish","Arabic, Spanish","Arabic, Spanish"
"Arabic, Spanish, English","Arabic, Spanish, English","Arabic, Spanish, English"
"Arabic,Maltese,French,English","Arabic,Maltese,French,English","Arabic, Maltese, French, English"
Arabic/Algerian Accent,"Arabic, Algerian Accent",Arabic
Arabic/French,"Arabic, French","Arabic, French"
Arabic/Spanish,"Arabic, Spanish","Arabic, Spanish"
Aramaic,Aramaic,Aramaic
Aramaie,Aramaie,Aramaic
Assamese,Assamese,Assamese
Australian,Australian,English
Australian English (?),Australian English,English
Austrian; Maltese,"Austrian, Maltese","Austrian, Maltese"
Balti,Balti,Balti
Balti (Ladakhi),"Balti, Ladakhi",Balti
"Balti,Hindi","Balti,Hindi","Balti, Hindi"
