Original_Qualification,Mapped_Category
"""O"" Levels",Secondary Education
"(High School Diploma,Bachelor)",Higher Education
"(High School Diploma,Bachelor,Masters,PhD)",Higher Education
"(Vocational Classes,Work training,High School Diploma)",Professional/Vocational
(vocational training),Professional/Vocational
+2 (Higher Secondary,Secondary Education
-,No/Other Qualification
/,No/Other Qualification
0-level,Secondary Education
0-levels,Secondary Education
1 year PG,No/Other Qualification
1 year college,Professional/Vocational
1. Staatsexamen,No/Other Qualification
10,No/Other Qualification
10th,No/Other Qualification
10th Grade,Secondary Education
10th grade,Secondary Education
11+,No/Other Qualification
11th grade,Secondary Education
12,No/Other Qualification
12th,No/Other Qualification
12th + Diploma,Secondary Education
12th Grade,Secondary Education
12th Pass,No/Other Qualification
12th class,No/Other Qualification
12th grade,Secondary Education
2,No/Other Qualification
2 Ausbildungen,No/Other Qualification
2 Bachelor's,Higher Education
2 Indian school?,No/Other Qualification
2 Staatsexamen,No/Other Qualification
2 Years of College,Professional/Vocational
2 diplomas,Secondary Education
2 years college,Professional/Vocational
2. Staatsexamen,No/Other Qualification
2nd year university,Higher Education
3 years University,Higher Education
3 years certificate railways,Professional/Vocational
3 years uni,No/Other Qualification
3rd grade,Secondary Education
3rd level,Secondary Education
3rd year High School,Secondary Education
4th grade,Secondary Education
4th secondary of High School,Secondary Education
4th year HS,No/Other Qualification
5 years training/ guilds,Work-Based Learning
5th,No/Other Qualification
5th form,Secondary Education
"6 O-Levels, 1 A-Level",Secondary Education
6 years in school,No/Other Qualification
6th classes,No/Other Qualification
6th form,Secondary Education
6th grade,Secondary Education
7 years of school,No/Other Qualification
7th grade,Secondary Education
8,No/Other Qualification
8 years in school,No/Other Qualification
8th,No/Other Qualification
8th Grade,Secondary Education
8th grade,Secondary Education
9 year,No/Other Qualification
9th Grade,Secondary Education
9th grade,Secondary Education
?,No/Other Qualification
?2-1? Latin Honours,No/Other Qualification
???,No/Other Qualification
?Colonel US Army,No/Other Qualification
?Law Degree?,Higher Education
A,No/Other Qualification
A  levels,Secondary Education
A GCSE,Secondary Education
A Level,Secondary Education
A Levels,Secondary Education
"A Levels, ongoing Bachelor",Higher Education
A level,Secondary Education
A levels,Secondary Education
A'Level,Secondary Education
A'Levels,Secondary Education
A*,No/Other Qualification
"A, S (English)",No/Other Qualification
A-Level,Secondary Education
A-Level's,Secondary Education
A-Levels,Secondary Education
"A-Levels
(Post-
Secondary)",Secondary Education
"A-Levels
Undergraduate",Higher Education
A-Levels in general studies,Secondary Education
"A-Levels, Bachelor, Master's",Higher Education
"A-Levels, O-Levels",Secondary Education
"A-Levels, Ships Master Ticket",Higher Education
A-level,Secondary Education
A-level standard,Secondary Education
A-levels,Secondary Education
A-levels and qualification in quantity surveying,Secondary Education
"A-levels, university",Higher Education
AA,No/Other Qualification
AA / Vocational,Professional/Vocational
AAT-A-Levels,Secondary Education
ABC,No/Other Qualification
ACCA,Professional/Vocational
ACI Dealing Certificate,Professional/Vocational
"ACIB
(Banking)",No/Other Qualification
ACII,No/Other Qualification
ADN,No/Other Qualification
AFS (UK),No/Other Qualification
AIB,No/Other Qualification
ALA (Associate of the Library Association),No/Other Qualification
APOC,No/Other Qualification
ARAD Royal Academy of Dancing,No/Other Qualification
AS/ A-Levels,Secondary Education
"AS; licensed massage therapist, esthetician",Professional/Vocational
Abitur,Secondary Education
Abitur (FOS),Secondary Education
Abitur (Irak),Secondary Education
Abitur + Work Training,Work-Based Learning
"Abitur, Bachelor",Higher Education
"Abitur, Bachelor, Masters",Higher Education
"Abitur, Staatsexamen",Secondary Education
"Abitur, Staatsexamen (LA Gym English, History, Religion)",Secondary Education
"Abitur, Staatsexamen (LA Gym English/History)",Secondary Education
"Abitur, Vocational classes (foreign language correspondent English/French), Staatsexamen (Lehramt)",Professional/Vocational
"Abitur, work training (foreign language correspondent in English)",Work-Based Learning
"Abitur, work training, vocational classes",Professional/Vocational
Abitur/Ausbildung,Secondary Education
Abiur,No/Other Qualification
