Original_Qualification,Mapped_Category
"""O"" Levels",Secondary Education
"(High School Diploma,Bachelor)",Higher Education
"(High School Diploma,Bachelor,Masters,PhD)",Higher Education
"(Vocational Classes,Work training,High School Diploma)",Professional/Vocational
(vocational training),Professional/Vocational
+2 (Higher Secondary,No/Other Qualification
-,No/Other Qualification
/,No/Other Qualification
0-level,Secondary Education
0-levels,Secondary Education
1 year PG,Higher Education
1 year college,Higher Education
1. Staatsexamen,Higher Education
10,NA
10th,Secondary Education
10th Grade,Secondary Education
10th grade,Secondary Education
11+,Secondary Education
11th grade,Secondary Education
12,NA
12th,Secondary Education
12th + Diploma,Secondary Education
12th Grade,Secondary Education
12th Pass,Secondary Education
12th class,Secondary Education
12th grade,Secondary Education
2,NA
2 Ausbildungen,Work-Based Learning
2 Bachelor's,Higher Education
2 Indian school?,No/Other Qualification
2 Staatsexamen,Higher Education
2 Years of College,Higher Education
2 diplomas,Higher Education
2 years college,Higher Education
2. Staatsexamen,Higher Education
2nd year university,Higher Education
3 years University,Higher Education
3 years certificate railways,Professional/Vocational
3 years uni,Higher Education
3rd grade,Secondary Education
3rd level,Secondary Education
3rd year High School,Secondary Education
4th grade,Secondary Education
4th secondary of High School,Secondary Education
4th year HS,Secondary Education
5 years training/ guilds,Professional/Vocational
5th,Secondary Education
5th form,Secondary Education
"6 O-Levels, 1 A-Level",Secondary Education
6 years in school,No/Other Qualification
6th classes,Secondary Education
6th form,Secondary Education
6th grade,Secondary Education
7 years of school,Secondary Education
7th grade,Secondary Education
8,NA
8 years in school,Secondary Education
8th,Secondary Education
8th Grade,Secondary Education
8th grade,Secondary Education
9 year,Secondary Education
9th Grade,Secondary Education
9th grade,Secondary Education
?,No/Other Qualification
?2-1? Latin Honours,Higher Education
???,No/Other Qualification
?Colonel US Army,Work-Based Learning
?Law Degree?,Higher Education
A,No/Other Qualification
A  levels,Secondary Education
A GCSE,Secondary Education
A Level,Secondary Education
A Levels,Secondary Education
"A Levels, ongoing Bachelor",Higher Education
A level,Secondary Education
A levels,Secondary Education
A'Level,Secondary Education
A'Levels,Secondary Education
A*,No/Other Qualification
"A, S (English)",No/Other Qualification
A-Level,Secondary Education
A-Level's,Secondary Education
A-Levels,Secondary Education
A-Levels (Post-Secondary),Secondary Education
A-Levels Undergraduate,Higher Education
A-Levels in general studies,Secondary Education
"A-Levels, Bachelor, Master's",Higher Education
"A-Levels, O-Levels",Secondary Education
"A-Levels, Ships Master Ticket",Higher Education
A-level,Secondary Education
A-level standard,Secondary Education
A-levels,Secondary Education
A-levels and qualification in quantity surveying,Professional/Vocational
"A-levels, university",Higher Education
AA,Higher Education
AA / Vocational,Professional/Vocational
AAT-A-Levels,Professional/Vocational
ABC,Professional/Vocational
ACCA,Professional/Vocational
ACI Dealing Certificate,Professional/Vocational
ACIB (Banking),Professional/Vocational
ACII,Professional/Vocational
ADN,Higher Education
AFS (UK),Professional/Vocational
AIB,Professional/Vocational
ALA (Associate of the Library Association),No/Other Qualification
APOC,Professional/Vocational
ARAD Royal Academy of Dancing,Professional/Vocational
AS/ A-Levels,Secondary Education
"AS; licensed massage therapist, esthetician",Professional/Vocational
Abitur,Secondary Education
Abitur (FOS),Secondary Education
Abitur (Irak),Secondary Education
Abitur + Work Training,Work-Based Learning
"Abitur, Bachelor",Higher Education
"Abitur, Bachelor, Masters",Higher Education
"Abitur, Staatsexamen",Higher Education
"Abitur, Staatsexamen (LA Gym English, History, Religion)",Higher Education
"Abitur, Staatsexamen (LA Gym English/History)",Higher Education
"Abitur, Vocational classes (foreign language correspondent English/French), Staatsexamen (Lehramt)",Higher Education
"Abitur, work training (foreign language correspondent in English)",Professional/Vocational
"Abitur, work training, vocational classes",Professional/Vocational
Abitur/Ausbildung,Work-Based Learning
Abiur,Secondary Education
Accountant,Professional/Vocational
Accountant training,Work-Based Learning
"Accountant, pharmacy assistant",Professional/Vocational
Accounting,Professional/Vocational
Administrator,Professional/Vocational
Advanced Level,Secondary Education
