InformantID,Occupation,Mapped_Category
CA15-056m22,?,No/Other Qualification
JE09-348f25,Accountant,Professional/Vocational
MT08-174m26,Accountant,Professional/Vocational
SI24-0051.1,accountant,Professional/Vocational
MT13-364f35,accounts clerk,Professional/Vocational
WA10-399f27,Admin Assistant,No/Other Qualification
MT18-158f66,Administration printing department,No/Other Qualification
MT23-0341,Affiliate Manager,Professional/Vocational
SE22-203f19,Apprentice,Work-Based Learning
SE22-205f19,Apprentice,Work-Based Learning
GIB10-154f17,apprentice,Work-Based Learning
DK22-037m75,Architect,Higher Education
PR12-182m61,Artisan seller,No/Other Qualification
SI24-0297,"artist, kindergarden teacher",Professional/Vocational
MT08-147m29,"Assistant
Manager",Professional/Vocational
MT13-463f19,Assistant Manager,Professional/Vocational
MT18-443f53,Assistant supervisor factory,Professional/Vocational
JE09-322m34,Associate director,Professional/Vocational
JE09-350m20,Auction classified website,No/Other Qualification
MT09-192f54,babysitter,No/Other Qualification
JE09-342f25,Bank cashier,No/Other Qualification
JE09-046m20,"Banker, Student",Work-Based Learning
GIB10-131f22,bar maid,No/Other Qualification
MT13-348m21,Bar man,No/Other Qualification
SC16-243m46,Bar team leader,No/Other Qualification
MT18-425m22,Barista,No/Other Qualification
JE09-303m28,Barman,No/Other Qualification
MT13-369m18,barman,No/Other Qualification
MT18-276m68,Bartender,No/Other Qualification
SC16-187f18,Bartender,No/Other Qualification
SE22-075m19,Bartender,No/Other Qualification
MT23-0408,beadel messenger,No/Other Qualification
JE09-018f71,Book keeper,No/Other Qualification
JE09-319f75,Bookkeeper,No/Other Qualification
DK22-061m24,Brandmanager,Professional/Vocational
MT13-121m21,Bus driver,No/Other Qualification
MT13-428m35,Bus Driver,No/Other Qualification
MT18-395m56,Bus driver,No/Other Qualification
WA10-294m32,Bus driver,No/Other Qualification
MT18-285m61,Business,No/Other Qualification
MT13-082m62,business (rent cars),No/Other Qualification
WA10-400f31,Business Support,No/Other Qualification
WA10-405f32,Business Support- BCBC,No/Other Qualification
MT18-317m57,Businessman,No/Other Qualification
GIB10-386m41,butcher,Work-Based Learning
SC18-009m57,Care Worker,Work-Based Learning
WA10-325f76,Carer in Residential Home,Work-Based Learning
WA10-102m53,Caretaker,Work-Based Learning
MT13-098m20,Careworker,Work-Based Learning
JE09-336f79,Chairman of Medieaval History,Professional/Vocational
JE09-116m19,Channel shutter + doors,Work-Based Learning
JE09-177NA16,Chef,No/Other Qualification
MT09-295m19,chef,No/Other Qualification
MT18-279m60,Chef,No/Other Qualification
SC16-300f22,Chef,No/Other Qualification
JE09-198f69,Childminder,No/Other Qualification
MT13-220f66,cleaner,No/Other Qualification
MT18-326f57,Cleaner,No/Other Qualification
