InformantID;Informant ID
Signature;Signature
Year;Year
CountryCollection;CountryCollection
VarietyInferred;VarietyInferred
Age;Age
Gender;Gender
Nationality;Nationality
EthnicSelfID;Ethnic self-identification
CountryID;Country or region you identify with
LanguageHome;Languages used at home while growing up
LanguageHome;Languages used at home while  growing up
LanguageMother;Native Lg. Mother
LanguageFather;Native Lg. Father
PrimarySchool;Primary school
SecondarySchool;Secondary school
NameSchool;Name and Place of high school
Qualifications;Qualifications
Occupation;Current occupation
QualiMother;Qualification mother
OccupMother;Occupation mother
QualiFather;Qualification father
OccupFather;Occupation father
QualiPartner;Qualification partner
OccupPartner;Occupation partner
YearsLivedOutside;Years lived outside of home country
CommentsTimeline;CommentsTimeline
YearsLivedInside;Years lived in home country
Ratio;Ratio
YearsLivedOtherEnglish;Years lived in other English-speaking countries
MainVariety;Main Variety
AdditionalVarieties;Additional Varieties
YearsLivedInMainVariety;Years lived in Main Variety
RatioMainVariety;Ratio Main Variety
aDropInTheOcean;a drop in the ocean -
aTap;a tap
Aluminium;aluminium
Anticlockwise;anticlockwise -
Aubergine;aubergine
Autumn;autumn
Backwards;backwards
Bicentenary;bicentenary -
Biscuit;biscuit
Bookings;bookings -
Boot;boot
CarPark;car park -
Centre;centre
Chemists;chemist's -
Ill;ill -
PotatoChips;potato chips
Chips;chips
Cinema;cinema -
Colour;colour
Cupboard;cupboard -
DrivingLicence;driving licence
Pacifier;dummy -
DustBin;dustbin
FishFingers;fish fingers -
Football;football
Forwards;forwards -
Globalisation;globalisation
Glocalisation;glocalisation -
Holiday;holiday
Liberalisation;liberalisation
JacketPotato;jacket potato
Launderette;laund(e)rette -
PotatoCrisps;potato crisps -
Crisps;crisps -
toLicence;to licence -
Lift;lift
Localisation;localisation -
Lorry;lorry
Maths;maths -
MobilePhone;mobile phone
Modernisation;modernisation -
Nappies;nappies
Organisation;organisation -
Parcel;parcel
Pavement;pavement -
Petrol;petrol
PetrolStation;petrol station -
Postman;postman
Pushchair;pushchair -
Railway;railway
Realisation;realisation -
Roundabout;roundabout
Rubber;rubber -
Rubbish;rubbish
ShoppingTrolley;shopping trolley -
Sport;sport
StormInATeacup;storm in a teacup -
Subway;subway
toLet;to let -
Torch;torch
TouchWood;touch wood -
Trainers;trainers
Whilst;whilst -
Windscreen;windscreen
aBookAboutChemistry;a book about  chemistry -
CompareXToY;compare X to Y -
TypicalOf;typical of -
Anyway;Anyway
CommentsLexical;CommentsLexical
GrammarSpokenFillingInFor;GrammarSpokenFillingInFor
A1;A1
A2;A2
A3;A3
A4;A4
A5;A5
A6;A6
A7;A7
A8;A8
A9;A9
A10;A10
A11;A11
A12;A12
A13;A13
A14;A14
