"QID";"InformantID";"Signature";"Year";"CountryCollection";"Age";"Gender";"Nationality";"EthnicSelfID";"CountryID";"LanguageHome";"LanguageMother";"LanguageFather";"PrimarySchool";"SecondarySchool";"Qualifications";"Occupation";"QualiMother";"OccupMother";"QualiFather";"OccupFather";"QualiPartner";"OccupPartner";"YearsLivedOutside";"YearsLivedInside";"YearsLivedOtherEnglish";"Ratio";"CommentsTimeline";"MainVariety";"AdditionalVarieties";"YearsLivedInMainVariety";"RatioMainVariety";"Date";"gender_normalized";"primary_school_normalized";"secondary_school_normalized";"LanguageHome_normalized";"LanguageFather_normalized";"LanguageMother_normalized";"Qualifications_normalized";"QualiMother_normalized";"QualiFather_normalized";"QualiPartner_normalized";"highest_qualification"
"1";"AUS10-001f54";"ND";"2010";"AUS";"54";"f";"Australian";"Anglo.";"ND";"English";"English";"English";"government";"government";"ARAD Royal Academy of Dancing";"Secretary";"Leaving Certificate";"Administration";"Electrical Contractor Certificate";"Electrical Contractor Certificate";"ND";"ND";"ND";"45";"ND";"0.83";"20 Frankfurt, Germany; 21 Kassel, Germany; 23 Berlin, Germany; 29-35 Amsterdam, Netherlands";"Australia";"";"45";"0.83";"";"Female";"State";"State";"English";"English";"English";"Professional/Vocational";"Secondary Education";"Professional/Vocational";"Professional/Vocational";"Professional/Vocational"
"2";"AUS10-002f26";"ND";"2010";"AUS";"26";"f";"Brazilian";"Caucasian";"ND";"Portuguese";"Portuguese";"Portuguese";"government";"government";"Bachelor";"Receptionist";"Primary School";"";"Primary School";"";"ND";"ND";"ND";"5";"ND";"0.19";"0-20 Brazil";"Brazil";"Australia";"20";"0.77";"";"Female";"State";"State";"Portuguese";"Portuguese";"Portuguese";"Higher Education";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"Higher Education"
"3";"AUS10-003f22";"ND";"2010";"AUS";"22";"f";"New Zealand";"European";"ND";"English";"English";"English";"government";"government";"";"Reception";"unknown";"victim support";"unknown";"property developer";"ND";"ND";"ND";"1";"ND";"0.05";"1-19 New Zealand; 20-21 UK";"New Zealand";"";"19";"0.86";"";"Female";"State";"State";"English";"English";"English";"No/Other Qualification";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"No/Other Qualification"
"4";"AUS10-004f59";"ND";"2010";"AUS";"59";"f";"Australian/English";"English";"ND";"English";"English";"English";"government";"government";"Bachelor";"Manager";"3rd year High School";"cook";"3rd year High School";"Gardener";"ND";"ND";"ND";"44";"ND";"0.75";"1-15 UK";"Australia";"England";"44";"0.75";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"5";"AUS10-005f24";"ND";"2010";"AUS";"24";"f";"Australian";"Italian";"ND";"English, Italian";"Italian";"Italian";"government";"government";"Diploma in legal services/certificate in financial services";"Personal assistant";"High School";"Head cashier";"High School";"Fiberglass laminator";"ND";"ND";"ND";"24";"ND";"1.0";"";"Australia";"";"24";"1.0";"";"Female";"State";"State";"English, Italian";"Italian";"Italian";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"6";"AUS10-006f23";"ND";"2010";"AUS";"23";"f";"Australian";"";"ND";"English";"English/Indian";"English";"government";"government";"TAFE courses";"assistant buyer";"nurse";"Aggo Care";"regional manager";"regional manager";"ND";"ND";"ND";"23";"ND";"1.0";"";"Australia";"";"23";"1.0";"";"Female";"State";"State";"English";"English";"English, Indian";"Professional/Vocational";"Higher Education";"Work-Based Learning";"Professional/Vocational";"Professional/Vocational"
"7";"AUS10-007f77";"ND";"2010";"AUS";"77";"f";"Australian";"English";"ND";"English";"English";"English";"government";"governement";"Intermediate Certificate";"Retired";"";"Home duties";"";"Nurseryman";"ND";"ND";"ND";"77";"ND";"1.0";"";"Australia";"";"77";"1.0";"";"Female";"State";"State";"English";"English";"English";"Professional/Vocational";"";"";"Professional/Vocational";"Professional/Vocational"
"8";"AUS10-008f25";"ND";"2010";"AUS";"25";"f";"Dutch";"Australian";"ND";"English, Dutch";"English";"Dutch";"government";"government";"Bachelor";"Sales Representative";"School Certificate";"secretary";"School Certificate";"carpenter";"ND";"ND";"ND";"17";"ND";"0.68";"0-7 Amsterdam, Netherlands;  20 London, England";"Australia";"Netherlands";"17";"0.68";"";"Female";"State";"State";"English, Dutch";"Dutch";"English";"Higher Education";"Secondary Education";"Secondary Education";"Professional/Vocational";"Higher Education"
"9";"AUS10-009m66";"ND";"2010";"AUS";"66";"m";"Australian";"German";"ND";"English, German";"German";"German";"government";"government";"Bachelor";"Company Manager/director";"Primary School";"Farmer's wife";"Primary School";"Farmer";"ND";"ND";"ND";"45";"ND";"0.68";"0-21 Germany";"Australia";"Germany";"45";"0.68";"";"Male";"State";"State";"English, German";"German";"German";"Higher Education";"No/Other Qualification";"No/Other Qualification";"Professional/Vocational";"Higher Education"
"10";"AUS10-010f40";"ND";"2010";"AUS";"40";"f";"Canadian, Australian";"Canadian";"ND";"English";"English";"English";"government";"government";"Bachelor";"Visitor Host, Educational Guide, Museum Guide";"Bachelor";"Teacher";"PhD";"Engineer";"ND";"ND";"ND";"17";"ND";"0.43";"0-23 Montreal, Canada";"Canada";"Australia";"23";"0.58";"";"Female";"State";"State";"English";"English";"English";"Higher Education";"Higher Education";"Higher Education";"Professional/Vocational";"Higher Education"
